region_id,sheet_number,sheet_name,scope,bid_item,subheading,text,text_frequency,frequency_flag,ocr_hints,llm_region_type,llm_identified_content,llm_association_strength,llm_direct_bid_item_evidence,final_validation,llm_confidence,llm_reason,needs_manual_review,medium_path,local_path,locator_path
region_000218,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AZ,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,AZ,NONE,"No direct evidence; region shows a grid reference bubble 'AZ' with dashed lines, not a finish/work or bid item.",WRONG,HIGH,"The highlighted region is a grid reference (AZ) used to locate drawing content. It does not directly identify any wall partition assembly, finish, material, or any bid-item work. GRID_REFERENCE references are not bid items and do not provide direct drawing evidence for Furnish & Install Wall Partition Assemblies (Metal Framing).",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000218.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000218.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000218.png
region_000219,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A2,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,"Blue circular grid callouts with labels (e.g., A1, A2, A3, A4, C1, F2) arranged along the plan; these appear to be grid reference bubbles rather than wall/fabrication labels.",NONE,"No direct evidence of Furnish & Install Wall Partition Assemblies or Metal Framing (no wall-type tag, schedule, or partition-related annotation visible in the region).",WRONG,HIGH,"The highlighted region shows grid reference callouts on the roof plan and does not contain any direct reference to wall partition assemblies, wall type schedules, or metal framing. There is no visual element that explicitly identifies or references the bid item; therefore there is no direct association.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000219.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000219.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000219.png
region_000220,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A2,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A2,NONE,NONE,WRONG,HIGH,"The highlighted region visibly contains the grid reference label 'A2' (grid bubble) and not any material/finish tag, room label, or schedule entry that directly identifies the bid item. Grid references are not bid-item evidence and do not explicitly reference 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' or 'Metal Framing'. Therefore there is no direct evidence linking this region to the bid item; the association is NONE (not DIRECT).",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000220.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000220.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000220.png
region_000221,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A3,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A3,NONE,"The region shows a grid reference label (A3). There are no wall-type tags, partition symbols, or explicit references to 'Wall Type' schedules within this region.",WRONG,HIGH,"The region visually contains a grid reference (A3) and does not directly identify or reference the bid item (Furnish & Install Wall Partition Assemblies). For a direct association, the region would need to show a wall tag/type label or a schedule entry tied to wall partitions.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000221.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000221.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000221.png
region_000222,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A3,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"Portion of Building Types Roof Plan (Sheet A-005) showing roof-plan geometry, wall outlines, grid references (no explicit partition/tag labeling visible in the highlighted region).",NONE,"No direct label, tag, schedule, detail, or symbol within the highlighted region that identifies wall partition assemblies or metal framing as per the Bid Item. The region appears to be part of the roof plan, not a partition/wall-type reference.",WRONG,HIGH,"The highlighted region is a roof-plan plan-geometry area with grid and wall outlines and does not contain any explicit reference to Furnish & Install Wall Partition Assemblies, Wall Type Schedules, or Metal Framing. There is no direct evidence tying this specific region to the bid item; relying on indirect cues (same trade, same sheet) would be incorrect per the required audit rules.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000222.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000222.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000222.png
region_000223,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A1,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A1,NONE,"No direct indication of wall partition assemblies, wall type tags, or related finish/work; region shows a grid bubble labeled 'A1' only.",WRONG,HIGH,"The highlighted region is a grid reference bubble ('A1'), which is a plan/grid reference literal. It does not directly identify, locate, or reference the original bid item (Furnish & Install Wall Partition Assemblies ..., Metal Framing). There is no direct evidence linking this region to the bid item; it is not a finish/work tag, a wall type tag, or a schedule entry.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000223.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000223.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000223.png
region_000224,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A1,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A1,NONE,"No direct evidence of wall partition assemblies or metal framing; region shows a circular grid reference tag labeled 'A1', which is a grid reference, not a bid item.",WRONG,HIGH,"The highlighted region visibly contains a circular grid reference tag 'A1' with adjacent grid-line markers. This is a grid reference, not a bid item. There is no direct indication of wall partition assemblies or metal framing, no wall-type tag, finish, schedule, or detail explicitly referencing the bid item. Per the special rule, grid references are not bid items, so there is no direct association to the original bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000224.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000224.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000224.png
region_000225,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A4,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,"Grid callouts labeled A2, A3, A4 with dashed guide lines visible within the region.",NONE,"No direct wall partition tag, finish tag, schedule, detail, or other explicit bid-item related identifier is visibly attached to this region.",WRONG,HIGH,"The region primarily shows grid reference callouts (A2, A3, A4) and associated grid lines. There is no explicit indication of a wall partition assembly, wall type tag, finish schedule, or detail that directly identifies or references the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. A grid reference by itself does not constitute direct evidence for the bid item; no explicit wall-type/partition information is shown in this region.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000225.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000225.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000225.png
region_000226,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A4,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,"Grid reference markers A2, A3, A4 (blue circled grid bubbles) along dashed grid lines visible in the region.",NONE,No direct bid item evidence present; region shows grid references only.,WRONG,HIGH,"The highlighted region contains grid reference markers (A2, A3, A4) and grid lines. There is no visible bid item identification (no wall partition material, finish tag, schedule, or detail) within this region. Grid references are location coordinates and do not directly identify or reference the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). Therefore, no direct association is evidenced.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000226.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000226.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000226.png
region_000227,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AX,16,True,"[""SHORT_TAG""]",FINISH_TAG,Two circular finish-tag callouts labeled 'FX' located along the central corridor of the roof-plan region.,INDIRECT,"No tag, label, schedule, or symbol directly identifying a wall partition assembly or metal framing (the bid item). Only finish-tag markers are present.",WRONG,HIGH,"The highlighted region shows FX finish-tag callouts, which indicate finishes, not a direct reference to furnishing/installation of wall partition assemblies per the 'Wall Type Schedules And Tags' requirement. There is no explicit partition assembly label, schedule entry, or component that directly identifies the bid item in this region; finish tags alone are insufficient for direct association.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000227.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000227.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000227.png
region_000228,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AX,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,AX,NONE,NONE,WRONG,HIGH,"The highlighted region contains a blue circled tag 'AX' with a leader line, which is consistent with a grid/axis reference tag rather than a wall partition/work item. There is no explicit indication of a wall type, metal framing, or a finish/work entry directly referencing the bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). According to the GRID REFERENCES special rule, a grid bubble/reference is NOT a bid item and does not provide direct evidence for the bid item. Therefore there is NO direct association to the bid item (association_strength = NONE), and the correct decision is WRONG.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000228.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000228.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000228.png
region_000229,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AV,16,True,"[""SHORT_TAG""]",EQUIPMENT_TAG,Blue circular tag with 'EV' (Elevator equipment tag) visible in the region.,NONE,"No wall partition assembly tag, wall type schedule, or finish/work indication visible in this region. The region shows elevator equipment tagging and core plan geometry, not partition-related notation.",WRONG,HIGH,"The highlighted area contains elevator equipment tags ('EV') and core plan elements, not any direct indication of wall partition assemblies or wall type schedules. There is no explicit detail, tag, or schedule in this region that references the bid item; thus the association is not direct.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000229.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000229.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000229.png
region_000230,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AV,16,True,"[""SHORT_TAG""]",EQUIPMENT_TAG,Blue circular tag labeled 'AV' connected to a leader on a roof plan portion (Sheet A-005).,NONE,No direct evidence of wall partition work or metal framing; region shows a roof-plan equipment tag (AV) rather than a wall-type finish/partition annotation.,WRONG,HIGH,"The highlighted region contains an equipment tag 'AV' on a roof plan (Architectural sheet A-005 Roof Plan), not a wall partition or metal framing element. There is no wall type, finish tag, partition symbol, or wall-type schedule reference in this region. The sheet itself is a roof plan, not a wall-type scheduling page. Therefore there is no direct evidence that this region identifies or locates the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000230.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000230.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000230.png
region_000231,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AZ,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"Small interior wall/partition segment on a roof-plan view, with no visible wall type tag, finish note, or explicit partition reference.",NONE,NONE,WRONG,HIGH,"The highlighted region shows only plan geometry of a wall/partition area without a wall type tag, schedule entry, or explicit reference to a wall partition assembly (no W-type tag, no finish/assembly note). It is located on a roof plan sheet (A-005) where interior partitions are not directly identified by a bid-item tag. There is no direct evidence linking this region to the Bid Item “Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags.” Therefore, the association is NOT DIRECT and the correct decision is WRONG.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000231.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000231.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000231.png
region_000232,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AZ,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,AZ,NONE,"No direct evidence. The region shows a circular grid label 'AZ' with a leader line to a grid line, which is a grid reference marker used for locating the drawing elements, not an identification of wall partitions or metal framing.",WRONG,HIGH,"The region visibly contains a circular marker with 'AZ' (grid reference) and a leader line to a grid line. This is a grid-reference element, not a bid-item identifier. The original bid item is 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). There is no direct visual evidence within this region that identifies, locates, or explicitly references that bid item (no material, finish, room label, or schedule entry linking to wall partitions). Therefore, this region does not directly associate with the bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000232.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000232.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000232.png
region_000233,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A2,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"A small portion of a roof plan with plan geometry and grid/callout markers (A1, A2, F2) along leaders; no wall/type tag, finish tag, or partition detail visible in the highlighted region.",NONE,"No direct evidence of wall partition assemblies, wall type tags (e.g., Wall Type S), or metal framing details within the highlighted region. The sheet is a roof plan (A-005) and the visible content consists of generic plan geometry and callouts, not a wall partition detail.",WRONG,HIGH,"The highlighted region does not contain any direct reference to wall partition assemblies or metal framing (no Wall Type S tag, schedule, or detail). It shows roof-plan geometry and generic callouts, which do not directly identify or locate the bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000233.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000233.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000233.png
region_000234,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A2,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A2 grid reference bubble (grid line indicator),NONE,"The region displays a circular blue balloon with the text 'A2', which is a grid reference tag used for locating grid lines on the plan. There is no text or symbol directly identifying a wall partition, wall type, finish, or schedule related to the bid item.",WRONG,HIGH,"The highlighted region contains a grid reference bubble (A2). Grid references are not bid items and do not directly identify, locate, or reference the Furnish & Install Wall Partition Assemblies (Wall Type Schedules and Tags) bid item. No direct evidence (finish, material, partition label, or schedule entry) linking this region to the bid item is visible. Therefore, this region does not have a DIRECT association to the bid item; its relevance would be indirect at best (and is considered WRONG per the rules).",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000234.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000234.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000234.png
region_000235,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A3,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A3,NONE,"No direct evidence; region is a grid reference bubble labeled A3 and does not identify wall partitions, metal framing, finishes, or a bid-item specific tag.",WRONG,HIGH,"The highlighted region shows a blue circular tag with the text 'A3', which is a grid reference bubble used for location, not for identifying work. According to the GRID_REFERENCE rule, a grid bubble is not a bid-item indicator. There is no visible wall-type tag, finish schedule reference, or any explicit indication of 'Furnish & Install Wall Partition Assemblies' or 'Metal Framing' in this region. Therefore, there is no direct evidence linking this region to the original bid item; the association is not direct, and the correct decision is WRONG.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000235.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000235.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000235.png
region_000236,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A3,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"Segment of roof plan showing plan geometry with vertical grid callouts (A1, A2, A3, A4); no wall partition tags, schedules, or tags indicating partition work are visible in this region.",NONE,"No direct evidence of wall partition assemblies, wall-type schedules, or partition-related tags in this region.",WRONG,HIGH,"The highlighted region displays general plan geometry and grid references, but there is no explicit indication of wall partition assemblies or wall-type schedules/tags that would directly identify the bid item. Therefore, there is no direct association to the original bid item in this region.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000236.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000236.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000236.png
