region_id,sheet_number,bid_item,text,llm_region_type,llm_association_strength,final_validation,llm_confidence,llm_reason
region_000215,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,PLAN_GEOMETRY,NONE,WRONG,HIGH,"Direct association requires the region itself to identify the wall partition work (material/work, finish, or a schedule/detail entry explicitly tied to the bid item). The highlighted region on the roof plan shows geometry of a core/shaft with no partition tags or wall-type references. OCR hints (e.g., 'AV') do not establish a direct connection to 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. Therefore, there is NO direct evidence linking this region to the bid item, and the association is WRONG."
region_000216,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,EQUIPMENT_TAG,NONE,WRONG,HIGH,"Direct evidence tying the region to the bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags, Metal Framing) is not present. The region is an equipment tag on a Roof Plan, not a wall partition detail, tag, or schedule that explicitly identifies or references the bid item."
region_000217,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region resides on a roof plan (Plan Geometry) and does not display any direct reference to wall partition assemblies, metal framing, or wall-type schedules/tags. There is no finish/tag indication, room label, schedule entry, or detail that explicitly identifies a wall partition work. The bid item specifies Furnish & Install Wall Partition Assemblies per wall type schedules and tags, which would require direct labeling or tagging in this region. OCR hints are unreliable here, and the image evidence shows only general plan geometry, not the specific bid-item evidence, so the association is not direct."
region_000218,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region is a grid reference (AZ) used to locate drawing content. It does not directly identify any wall partition assembly, finish, material, or any bid-item work. GRID_REFERENCE references are not bid items and do not provide direct drawing evidence for Furnish & Install Wall Partition Assemblies (Metal Framing)."
region_000219,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows grid reference callouts on the roof plan and does not contain any direct reference to wall partition assemblies, wall type schedules, or metal framing. There is no visual element that explicitly identifies or references the bid item; therefore there is no direct association."
region_000220,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains the grid reference label 'A2' (grid bubble) and not any material/finish tag, room label, or schedule entry that directly identifies the bid item. Grid references are not bid-item evidence and do not explicitly reference 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' or 'Metal Framing'. Therefore there is no direct evidence linking this region to the bid item; the association is NONE (not DIRECT)."
region_000221,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,GRID_REFERENCE,NONE,WRONG,HIGH,"The region visually contains a grid reference (A3) and does not directly identify or reference the bid item (Furnish & Install Wall Partition Assemblies). For a direct association, the region would need to show a wall tag/type label or a schedule entry tied to wall partitions."
region_000222,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region is a roof-plan plan-geometry area with grid and wall outlines and does not contain any explicit reference to Furnish & Install Wall Partition Assemblies, Wall Type Schedules, or Metal Framing. There is no direct evidence tying this specific region to the bid item; relying on indirect cues (same trade, same sheet) would be incorrect per the required audit rules."
region_000223,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region is a grid reference bubble ('A1'), which is a plan/grid reference literal. It does not directly identify, locate, or reference the original bid item (Furnish & Install Wall Partition Assemblies ..., Metal Framing). There is no direct evidence linking this region to the bid item; it is not a finish/work tag, a wall type tag, or a schedule entry."
region_000224,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains a circular grid reference tag 'A1' with adjacent grid-line markers. This is a grid reference, not a bid item. There is no direct indication of wall partition assemblies or metal framing, no wall-type tag, finish, schedule, or detail explicitly referencing the bid item. Per the special rule, grid references are not bid items, so there is no direct association to the original bid item."
region_000225,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The region primarily shows grid reference callouts (A2, A3, A4) and associated grid lines. There is no explicit indication of a wall partition assembly, wall type tag, finish schedule, or detail that directly identifies or references the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. A grid reference by itself does not constitute direct evidence for the bid item; no explicit wall-type/partition information is shown in this region."
region_000226,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains grid reference markers (A2, A3, A4) and grid lines. There is no visible bid item identification (no wall partition material, finish tag, schedule, or detail) within this region. Grid references are location coordinates and do not directly identify or reference the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). Therefore, no direct association is evidenced."
region_000227,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,FINISH_TAG,INDIRECT,WRONG,HIGH,"The highlighted region shows FX finish-tag callouts, which indicate finishes, not a direct reference to furnishing/installation of wall partition assemblies per the 'Wall Type Schedules And Tags' requirement. There is no explicit partition assembly label, schedule entry, or component that directly identifies the bid item in this region; finish tags alone are insufficient for direct association."
region_000228,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a blue circled tag 'AX' with a leader line, which is consistent with a grid/axis reference tag rather than a wall partition/work item. There is no explicit indication of a wall type, metal framing, or a finish/work entry directly referencing the bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). According to the GRID REFERENCES special rule, a grid bubble/reference is NOT a bid item and does not provide direct evidence for the bid item. Therefore there is NO direct association to the bid item (association_strength = NONE), and the correct decision is WRONG."
region_000229,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,EQUIPMENT_TAG,NONE,WRONG,HIGH,"The highlighted area contains elevator equipment tags ('EV') and core plan elements, not any direct indication of wall partition assemblies or wall type schedules. There is no explicit detail, tag, or schedule in this region that references the bid item; thus the association is not direct."
region_000230,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,EQUIPMENT_TAG,NONE,WRONG,HIGH,"The highlighted region contains an equipment tag 'AV' on a roof plan (Architectural sheet A-005 Roof Plan), not a wall partition or metal framing element. There is no wall type, finish tag, partition symbol, or wall-type schedule reference in this region. The sheet itself is a roof plan, not a wall-type scheduling page. Therefore there is no direct evidence that this region identifies or locates the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'."
region_000231,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region shows only plan geometry of a wall/partition area without a wall type tag, schedule entry, or explicit reference to a wall partition assembly (no W-type tag, no finish/assembly note). It is located on a roof plan sheet (A-005) where interior partitions are not directly identified by a bid-item tag. There is no direct evidence linking this region to the Bid Item “Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags.” Therefore, the association is NOT DIRECT and the correct decision is WRONG."
region_000232,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,GRID_REFERENCE,NONE,WRONG,HIGH,"The region visibly contains a circular marker with 'AZ' (grid reference) and a leader line to a grid line. This is a grid-reference element, not a bid-item identifier. The original bid item is 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). There is no direct visual evidence within this region that identifies, locates, or explicitly references that bid item (no material, finish, room label, or schedule entry linking to wall partitions). Therefore, this region does not directly associate with the bid item."
region_000233,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region does not contain any direct reference to wall partition assemblies or metal framing (no Wall Type S tag, schedule, or detail). It shows roof-plan geometry and generic callouts, which do not directly identify or locate the bid item."
region_000234,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid reference bubble (A2). Grid references are not bid items and do not directly identify, locate, or reference the Furnish & Install Wall Partition Assemblies (Wall Type Schedules and Tags) bid item. No direct evidence (finish, material, partition label, or schedule entry) linking this region to the bid item is visible. Therefore, this region does not have a DIRECT association to the bid item; its relevance would be indirect at best (and is considered WRONG per the rules)."
region_000235,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a blue circular tag with the text 'A3', which is a grid reference bubble used for location, not for identifying work. According to the GRID_REFERENCE rule, a grid bubble is not a bid-item indicator. There is no visible wall-type tag, finish schedule reference, or any explicit indication of 'Furnish & Install Wall Partition Assemblies' or 'Metal Framing' in this region. Therefore, there is no direct evidence linking this region to the original bid item; the association is not direct, and the correct decision is WRONG."
region_000236,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region displays general plan geometry and grid references, but there is no explicit indication of wall partition assemblies or wall-type schedules/tags that would directly identify the bid item. Therefore, there is no direct association to the original bid item in this region."
region_000237,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,EQUIPMENT_TAG,DIRECT,RIGHT,HIGH,"The region visibly contains a wall-type tag (A1) directly labeling a wall element, which corresponds to the wall type required by the bid item. No inference from OCR or indirect reasoning is needed."
region_000238,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visually contains grid reference bubbles (A1, A2, A3, etc.) which are used for locating elements on the plan. There is no visible wall partition tag, wall type schedule, or partition-related symbol that directly identifies or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is no direct association with the bid item; at best it is contextual plan geometry, not a direct bid-item evidence."
region_000239,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid bubble labeled 'A4' along a dashed grid line. A grid reference is not a bid item and does not directly identify, locate, or reference the Furnish & Install Wall Partition Assemblies (Wall Type Schedules and Tags) for Metal Framing. There is no explicit finish, material, or partition assembly information in the region. Therefore there is no direct association with the bid item; the correct decision is WRONG."
region_000240,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The region visually contains a grid bubble (A4) with a leader line, which is a grid reference, not a bid item. Grid references are explicitly excluded as direct evidence for a bid item. There is no visible element in this region that directly identifies, labels, or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags / Metal Framing)."
region_000241,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,FINISH_TAG,INDIRECT,WRONG,MEDIUM,"The region contains finish tags (FX) which indicate finishes rather than directly identifying or labeling the specific bid item (Furnish & Install Wall Partition Assemblies). There is no visible wall-type schedule, wall tag, or explicit reference to a wall partition assembly in this region; the evidence is thus indirect at best and not a direct match to the bid item."
region_000242,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visually contains a grid reference tag 'AX' with a leader, not a label, schedule, detail, or finish indication that directly identifies or references the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. Grid references are not bid-item evidence and do not establish direct association to wall partition work."
region_000243,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,FINISH_TAG,NONE,WRONG,MEDIUM,"The region visually contains finish-tag indicators (FZ) rather than a wall-type/partition label or detailed wall-assembly reference. There is no explicit reference to Wall Type S or a partition assembly in this region. It is on a roof plan sheet and lacks evidence directly identifying the bid-item work (furnish & install wall partition assemblies with metal framing). Therefore, no direct association to the bid item is shown; OCR alone is not sufficient to change this."
region_000244,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,EQUIPMENT_TAG,NONE,WRONG,HIGH,The highlighted region is a generic annotation tag ('AV') without a direct reference to a wall partition assembly or the Wall Type Schedule/Tags required by the bid item. The bid item requires explicit identification of wall partition assemblies via wall type schedules and tags; this region does not provide that direct linkage.
region_000245,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region shows generic plan geometry (walls and a doorway/shaft) on the roof plan and does not contain any wall-type tag, partition assembly reference, finish tag, or schedule entry that explicitly identifies or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). There is no direct indication that this region represents or details a wall partition assembly per the bid item; OCR/text present is not sufficient to establish a direct association."
region_000246,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a blue circular tag labeled 'AZ' connected by a dashed leader. This is a grid reference bubble, not a bid-item identifier. Grid references do not directly identify or locate the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags, Metal Framing) and provide no explicit evidence of wall partitions, finishes, or associated work. Therefore the region has no direct association with the bid item. The evidence is visually unambiguous and not dependent on OCR."
region_000247,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a grid reference bubble (A2) used for locating grid lines on the plan. Grid references are explicitly NOT bid items and do not directly identify the wall partition work described in the original bid item. There is no other direct evidence (e.g., wall type tag or schedule) in this region that ties to 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'."
region_000248,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region shows roof-plan geometry with grid references (e.g., A1, A2, AZ) and wall outlines, but there is no direct evidence of wall partition assemblies, wall type schedules, or tags that explicitly identify or reference the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags (Metal Framing)'. A direct association would require visible wall-type tags, partition assembly labels, or a corresponding wall type schedule/detail within this region, none of which are present. Therefore the region does not directly represent the bid item, and the association is WRONG."
region_000249,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region visually contains plan geometry of walls on a roof plan sheet (A-005) with grid callouts, but there is no explicit reference to 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' or any 'Wall Type' tag. Without a direct tag/schedule to the bid item, there is no direct association. The Special Rule indicates that generic references or OCR/text are not sufficient without explicit labeling; there is no schedule or tag here. Therefore the association is not direct."
region_000250,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region shows general plan geometry on a roof plan with grid references and no explicit wall partition tag or schedule. There is no direct evidence identifying or linking this region to the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. The association would be INDIRECT at best if any, but there is no explicit labeling to support a direct association."
region_000251,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains grid reference callouts (A1, A2, A3, F2, B1, B2) which are used to locate elements on the plan. This does not directly identify, locate, or reference the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). There is no explicit wall partition, finish, schedule, or tag directly tied to the bid item in this region, so there is no direct association."
region_000252,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a blue circular grid reference bubble with the label 'A1'. Grid references are not bid items and do not directly identify or reference wall partition assemblies. The original bid item requires wall partition assemblies per wall type schedules/tags, which would be evidenced by wall-type tags, partition details, or finish schedules, not by a grid reference bubble on a roof plan sheet."
region_000253,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains grid reference bubbles (A4, A3, A2) used to locate grid lines on the roof plan. There is no visible wall type tag, partition tag, schedule entry, or any other direct indication of wall partition assemblies. Therefore, the region does not directly identify, locate, or reference the Original Bid Item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Grid references are indirect locational markers and do not constitute direct evidence for the bid item per the audit rules."
region_000254,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows grid reference bubbles (e.g., A4) and plan geometry only, with no wall partition assembly identifier, wall type tag, or schedule/detail entry that directly corresponds to the bid item “Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags.” Therefore there is no direct association to the bid item."
region_000255,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,FINISH_TAG,INDIRECT,WRONG,MEDIUM,"The region contains finish-tag markers (FX) along a partition line, which indicate surface finishes rather than the actual wall partition assembly. The Bid Item requires furnishing and installing wall partition assemblies per wall type schedules/tags. The region does not directly identify, locate, or reference a specific wall partition assembly or its type (no wall-type tag or schedule visible). Therefore, while finishes are implied, there is no direct evidence linking this region to the Bid Item."
region_000256,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,GRID_REFERENCE,NONE,WRONG,HIGH,A grid reference bubble/label is not a bid-item indication. It does not directly identify or reference the wall partition assemblies or metal framing required by the bid item. Therefore there is no direct association to the original bid item.
region_000257,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region shows general plan geometry of interior partitions and a doorway with grid references and miscellaneous callouts, but it does not display any direct tag, schedule reference, or detail that explicitly identifies or references the wall partition assemblies (as per wall type schedules and tags) required by the bid item. There is no visible linkage to a wall-type schedule or metal-framing specification in this region; OCR hints do not substitute for direct drawing evidence. Therefore, no direct association to the bid item is present."
region_000258,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region is a roof-plan geometry area showing grid lines and generic walls, not a wall-type partition assembly or metal-framing tag/reference. There is no explicit evidence tying this region directly to the bid item."
region_000259,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,PLAN_GEOMETRY,NONE,WRONG,HIGH,"There is no direct evidence in the highlighted region that identifies or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). The region shows generic wall geometry and a door opening without wall-type tags, schedules, or finish associations that would directly tie it to wall partition assemblies with metal framing. OCR alone is not considered evidence; the image must show a direct label or schedule item, which is absent here."
region_000260,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region is a circular grid reference bubble containing the text 'AZ' with a dashed leader. This is a grid/zone reference annotation, not a wall partition, finish, or bid-item identifier. Per the Special Rule for GRID REFERENCES, grid bubbles/labels do not establish direct bid-item association. Therefore there is no direct evidence linking this region to the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing)."
region_000261,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains grid reference markings (A2) on the roof plan. There is no text or symbol that directly identifies a wall partition assembly, wall type, or metal framing as required by the bid item. According to the GRID REFERENCES rule, grid references are not bid-item evidence and cannot directly satisfy the bid item association. Therefore, there is no direct association to the bid item."
region_000262,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows grid reference bubbles/lines (A4, A3, A2, A1, F2, B1). There is no tag, label, finish, schedule entry, or detail that directly identifies or references the bid item “Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags” (Metal Framing). The region does not contain any wall-type tag or partition assembly reference; OCR evidence is ancillary and does not establish a direct association. Therefore the region does not directly prove the original bid item and the association is WRONG. The red locator box is not itself evidence."
region_000263,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,GRID_REFERENCE,NONE,WRONG,HIGH,"1) The region visibly contains a grid reference bubble 'A3' (a standard locating marker) rather than any bid-item specific label. 2) It does not depict or reference wall partition assemblies, wall type schedules, or metal framing as a direct element. 3) Therefore there is no direct evidence linking this region to the Bid Item; the relationship would be indirect at best (location context), which is not sufficient for a direct association. 4) No reliance on OCR alone; the visual evidence supports GRID_REFERENCE, not bid-item content."
region_000264,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region shows generic plan geometry (roof plan/wall outlines with grid references) and does not contain any direct evidence of 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' or any wall-type tag/schedule. There is no explicit reference to metal framing or a wall partition assembly within this specific region, nor any tag/designation that directly identifies the bid item. OCR hints are not considered as primary evidence; the visual content provides no direct association."
region_000265,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains a grid reference bubble with 'A1'. This is a location reference, not a finish, material, or partition entry. Special Rule for GRID REFERENCES states that grid bubbles are NOT bid items. Therefore there is NO direct association with the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). The evidence is unambiguous and does not rely on OCR alone."
