llm_status,llm_region_type,llm_identified_content,llm_direct_bid_item_evidence,llm_association_strength,llm_decision,llm_confidence,llm_reason,llm_error,llm_attempts,row_index,region_id,sheet_number,bid_item
SUCCESS,GRID_REFERENCE,AX,"No direct bid item evidence. The region shows a blue circle with AX connected by a leader, which corresponds to a grid/axis reference used for location on the plan, not to the wall partition work.",NONE,WRONG,HIGH,"The highlighted region contains a grid/reference label (AX) rather than a finish, wall type tag, or explicit partition-related annotation. Grid references do not directly identify or reference the Bid Item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is no direct evidence linking this region to the bid item.",,1,214,region_000214,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,"Small enclosed core/shaft feature within the roof plan vicinity (central area). No visible wall partition tag, wall type label, finish tag, or partition-related schedule explicit to a bid item.","No direct evidence of a wall partition assembly tag or wall type schedule in this region. No labeling such as a partition wall type (e.g., W-xx) or associated schedule visible in the highlighted area.",NONE,WRONG,HIGH,"Direct association requires the region itself to identify the wall partition work (material/work, finish, or a schedule/detail entry explicitly tied to the bid item). The highlighted region on the roof plan shows geometry of a core/shaft with no partition tags or wall-type references. OCR hints (e.g., 'AV') do not establish a direct connection to 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. Therefore, there is NO direct evidence linking this region to the bid item, and the association is WRONG.",,1,215,region_000215,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,EQUIPMENT_TAG,AV,"The highlighted region shows a circular equipment tag labeled 'AV' connected by a leader line to a location on the Roof Plan. There is no visible tag, note, or schedule explicitly referencing wall partitions, metal framing, or a Wall Type Schedule/Tags in this region. No depiction of partition assemblies or related finish/work is shown directly in this region.",NONE,WRONG,HIGH,"Direct evidence tying the region to the bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags, Metal Framing) is not present. The region is an equipment tag on a Roof Plan, not a wall partition detail, tag, or schedule that explicitly identifies or references the bid item.",,2,216,region_000216,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,"Roof plan region showing central architectural/structural feature; no wall partitions, wall type tags, or finish/tag schedules visible within the highlighted area.",NONE,NONE,WRONG,HIGH,"The highlighted region resides on a roof plan (Plan Geometry) and does not display any direct reference to wall partition assemblies, metal framing, or wall-type schedules/tags. There is no finish/tag indication, room label, schedule entry, or detail that explicitly identifies a wall partition work. The bid item specifies Furnish & Install Wall Partition Assemblies per wall type schedules and tags, which would require direct labeling or tagging in this region. OCR hints are unreliable here, and the image evidence shows only general plan geometry, not the specific bid-item evidence, so the association is not direct.",,1,217,region_000217,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,AZ,"No direct evidence; region shows a grid reference bubble 'AZ' with dashed lines, not a finish/work or bid item.",NONE,WRONG,HIGH,"The highlighted region is a grid reference (AZ) used to locate drawing content. It does not directly identify any wall partition assembly, finish, material, or any bid-item work. GRID_REFERENCE references are not bid items and do not provide direct drawing evidence for Furnish & Install Wall Partition Assemblies (Metal Framing).",,1,218,region_000218,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,"Blue circular grid callouts with labels (e.g., A1, A2, A3, A4, C1, F2) arranged along the plan; these appear to be grid reference bubbles rather than wall/fabrication labels.","No direct evidence of Furnish & Install Wall Partition Assemblies or Metal Framing (no wall-type tag, schedule, or partition-related annotation visible in the region).",NONE,WRONG,HIGH,"The highlighted region shows grid reference callouts on the roof plan and does not contain any direct reference to wall partition assemblies, wall type schedules, or metal framing. There is no visual element that explicitly identifies or references the bid item; therefore there is no direct association.",,1,219,region_000219,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A2,NONE,NONE,WRONG,HIGH,"The highlighted region visibly contains the grid reference label 'A2' (grid bubble) and not any material/finish tag, room label, or schedule entry that directly identifies the bid item. Grid references are not bid-item evidence and do not explicitly reference 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' or 'Metal Framing'. Therefore there is no direct evidence linking this region to the bid item; the association is NONE (not DIRECT).",,2,220,region_000220,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A3,"The region shows a grid reference label (A3). There are no wall-type tags, partition symbols, or explicit references to 'Wall Type' schedules within this region.",NONE,WRONG,HIGH,"The region visually contains a grid reference (A3) and does not directly identify or reference the bid item (Furnish & Install Wall Partition Assemblies). For a direct association, the region would need to show a wall tag/type label or a schedule entry tied to wall partitions.",,1,221,region_000221,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,"Portion of Building Types Roof Plan (Sheet A-005) showing roof-plan geometry, wall outlines, grid references (no explicit partition/tag labeling visible in the highlighted region).","No direct label, tag, schedule, detail, or symbol within the highlighted region that identifies wall partition assemblies or metal framing as per the Bid Item. The region appears to be part of the roof plan, not a partition/wall-type reference.",NONE,WRONG,HIGH,"The highlighted region is a roof-plan plan-geometry area with grid and wall outlines and does not contain any explicit reference to Furnish & Install Wall Partition Assemblies, Wall Type Schedules, or Metal Framing. There is no direct evidence tying this specific region to the bid item; relying on indirect cues (same trade, same sheet) would be incorrect per the required audit rules.",,1,222,region_000222,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A1,"No direct indication of wall partition assemblies, wall type tags, or related finish/work; region shows a grid bubble labeled 'A1' only.",NONE,WRONG,HIGH,"The highlighted region is a grid reference bubble ('A1'), which is a plan/grid reference literal. It does not directly identify, locate, or reference the original bid item (Furnish & Install Wall Partition Assemblies ..., Metal Framing). There is no direct evidence linking this region to the bid item; it is not a finish/work tag, a wall type tag, or a schedule entry.",,1,223,region_000223,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A1,"No direct evidence of wall partition assemblies or metal framing; region shows a circular grid reference tag labeled 'A1', which is a grid reference, not a bid item.",NONE,WRONG,HIGH,"The highlighted region visibly contains a circular grid reference tag 'A1' with adjacent grid-line markers. This is a grid reference, not a bid item. There is no direct indication of wall partition assemblies or metal framing, no wall-type tag, finish, schedule, or detail explicitly referencing the bid item. Per the special rule, grid references are not bid items, so there is no direct association to the original bid item.",,1,224,region_000224,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,"Grid callouts labeled A2, A3, A4 with dashed guide lines visible within the region.","No direct wall partition tag, finish tag, schedule, detail, or other explicit bid-item related identifier is visibly attached to this region.",NONE,WRONG,HIGH,"The region primarily shows grid reference callouts (A2, A3, A4) and associated grid lines. There is no explicit indication of a wall partition assembly, wall type tag, finish schedule, or detail that directly identifies or references the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. A grid reference by itself does not constitute direct evidence for the bid item; no explicit wall-type/partition information is shown in this region.",,2,225,region_000225,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,"Grid reference markers A2, A3, A4 (blue circled grid bubbles) along dashed grid lines visible in the region.",No direct bid item evidence present; region shows grid references only.,NONE,WRONG,HIGH,"The highlighted region contains grid reference markers (A2, A3, A4) and grid lines. There is no visible bid item identification (no wall partition material, finish tag, schedule, or detail) within this region. Grid references are location coordinates and do not directly identify or reference the Bid Item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). Therefore, no direct association is evidenced.",,1,226,region_000226,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,FINISH_TAG,Two circular finish-tag callouts labeled 'FX' located along the central corridor of the roof-plan region.,"No tag, label, schedule, or symbol directly identifying a wall partition assembly or metal framing (the bid item). Only finish-tag markers are present.",INDIRECT,WRONG,HIGH,"The highlighted region shows FX finish-tag callouts, which indicate finishes, not a direct reference to furnishing/installation of wall partition assemblies per the 'Wall Type Schedules And Tags' requirement. There is no explicit partition assembly label, schedule entry, or component that directly identifies the bid item in this region; finish tags alone are insufficient for direct association.",,1,227,region_000227,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,AX,NONE,NONE,WRONG,HIGH,"The highlighted region contains a blue circled tag 'AX' with a leader line, which is consistent with a grid/axis reference tag rather than a wall partition/work item. There is no explicit indication of a wall type, metal framing, or a finish/work entry directly referencing the bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). According to the GRID REFERENCES special rule, a grid bubble/reference is NOT a bid item and does not provide direct evidence for the bid item. Therefore there is NO direct association to the bid item (association_strength = NONE), and the correct decision is WRONG.",,2,228,region_000228,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,EQUIPMENT_TAG,Blue circular tag with 'EV' (Elevator equipment tag) visible in the region.,"No wall partition assembly tag, wall type schedule, or finish/work indication visible in this region. The region shows elevator equipment tagging and core plan geometry, not partition-related notation.",NONE,WRONG,HIGH,"The highlighted area contains elevator equipment tags ('EV') and core plan elements, not any direct indication of wall partition assemblies or wall type schedules. There is no explicit detail, tag, or schedule in this region that references the bid item; thus the association is not direct.",,1,229,region_000229,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,EQUIPMENT_TAG,Blue circular tag labeled 'AV' connected to a leader on a roof plan portion (Sheet A-005).,No direct evidence of wall partition work or metal framing; region shows a roof-plan equipment tag (AV) rather than a wall-type finish/partition annotation.,NONE,WRONG,HIGH,"The highlighted region contains an equipment tag 'AV' on a roof plan (Architectural sheet A-005 Roof Plan), not a wall partition or metal framing element. There is no wall type, finish tag, partition symbol, or wall-type schedule reference in this region. The sheet itself is a roof plan, not a wall-type scheduling page. Therefore there is no direct evidence that this region identifies or locates the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'.",,1,230,region_000230,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,"Small interior wall/partition segment on a roof-plan view, with no visible wall type tag, finish note, or explicit partition reference.",NONE,NONE,WRONG,HIGH,"The highlighted region shows only plan geometry of a wall/partition area without a wall type tag, schedule entry, or explicit reference to a wall partition assembly (no W-type tag, no finish/assembly note). It is located on a roof plan sheet (A-005) where interior partitions are not directly identified by a bid-item tag. There is no direct evidence linking this region to the Bid Item “Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags.” Therefore, the association is NOT DIRECT and the correct decision is WRONG.",,1,231,region_000231,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,AZ,"No direct evidence. The region shows a circular grid label 'AZ' with a leader line to a grid line, which is a grid reference marker used for locating the drawing elements, not an identification of wall partitions or metal framing.",NONE,WRONG,HIGH,"The region visibly contains a circular marker with 'AZ' (grid reference) and a leader line to a grid line. This is a grid-reference element, not a bid-item identifier. The original bid item is 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). There is no direct visual evidence within this region that identifies, locates, or explicitly references that bid item (no material, finish, room label, or schedule entry linking to wall partitions). Therefore, this region does not directly associate with the bid item.",,1,232,region_000232,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,"A small portion of a roof plan with plan geometry and grid/callout markers (A1, A2, F2) along leaders; no wall/type tag, finish tag, or partition detail visible in the highlighted region.","No direct evidence of wall partition assemblies, wall type tags (e.g., Wall Type S), or metal framing details within the highlighted region. The sheet is a roof plan (A-005) and the visible content consists of generic plan geometry and callouts, not a wall partition detail.",NONE,WRONG,HIGH,"The highlighted region does not contain any direct reference to wall partition assemblies or metal framing (no Wall Type S tag, schedule, or detail). It shows roof-plan geometry and generic callouts, which do not directly identify or locate the bid item.",,1,233,region_000233,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A2 grid reference bubble (grid line indicator),"The region displays a circular blue balloon with the text 'A2', which is a grid reference tag used for locating grid lines on the plan. There is no text or symbol directly identifying a wall partition, wall type, finish, or schedule related to the bid item.",NONE,WRONG,HIGH,"The highlighted region contains a grid reference bubble (A2). Grid references are not bid items and do not directly identify, locate, or reference the Furnish & Install Wall Partition Assemblies (Wall Type Schedules and Tags) bid item. No direct evidence (finish, material, partition label, or schedule entry) linking this region to the bid item is visible. Therefore, this region does not have a DIRECT association to the bid item; its relevance would be indirect at best (and is considered WRONG per the rules).",,1,234,region_000234,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A3,"No direct evidence; region is a grid reference bubble labeled A3 and does not identify wall partitions, metal framing, finishes, or a bid-item specific tag.",NONE,WRONG,HIGH,"The highlighted region shows a blue circular tag with the text 'A3', which is a grid reference bubble used for location, not for identifying work. According to the GRID_REFERENCE rule, a grid bubble is not a bid-item indicator. There is no visible wall-type tag, finish schedule reference, or any explicit indication of 'Furnish & Install Wall Partition Assemblies' or 'Metal Framing' in this region. Therefore, there is no direct evidence linking this region to the original bid item; the association is not direct, and the correct decision is WRONG.",,2,235,region_000235,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,"Segment of roof plan showing plan geometry with vertical grid callouts (A1, A2, A3, A4); no wall partition tags, schedules, or tags indicating partition work are visible in this region.","No direct evidence of wall partition assemblies, wall-type schedules, or partition-related tags in this region.",NONE,WRONG,HIGH,"The highlighted region displays general plan geometry and grid references, but there is no explicit indication of wall partition assemblies or wall-type schedules/tags that would directly identify the bid item. Therefore, there is no direct association to the original bid item in this region.",,1,236,region_000236,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,EQUIPMENT_TAG,A1,"The highlighted region shows a circular tag with the label 'A1' attached to a wall segment on the plan. This is a wall-type tag that directly references the corresponding wall type entry (A1) in the Wall Type Schedule. The bid item is to Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags (Metal Framing), so this tag provides direct evidence for the specific wall type to be installed.",DIRECT,RIGHT,HIGH,"The region visibly contains a wall-type tag (A1) directly labeling a wall element, which corresponds to the wall type required by the bid item. No inference from OCR or indirect reasoning is needed.",,1,237,region_000237,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,"Grid reference bubbles labeled A1, A2, A3 (plan grid references) along the roof-plan region.","No direct evidence of wall partitions, wall type tags, or finish/work items. The region shows grid references only, not any wall-type/partition indication.",NONE,WRONG,HIGH,"The highlighted region visually contains grid reference bubbles (A1, A2, A3, etc.) which are used for locating elements on the plan. There is no visible wall partition tag, wall type schedule, or partition-related symbol that directly identifies or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is no direct association with the bid item; at best it is contextual plan geometry, not a direct bid-item evidence.",,1,238,region_000238,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,A4 grid reference bubble,"No direct bid item indicator present; region shows only a grid reference along a dashed grid line with no wall type, finish, or partition assembly reference.",NONE,WRONG,HIGH,"The highlighted region contains a grid bubble labeled 'A4' along a dashed grid line. A grid reference is not a bid item and does not directly identify, locate, or reference the Furnish & Install Wall Partition Assemblies (Wall Type Schedules and Tags) for Metal Framing. There is no explicit finish, material, or partition assembly information in the region. Therefore there is no direct association with the bid item; the correct decision is WRONG.",,1,239,region_000239,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,Circular grid reference bubble containing A4 with a dashed leader line (grid reference) visible on the roof-plan region.,"None. The region shows a grid reference bubble and does not contain any wall type tag, finish indication, schedule entry, or explicit reference to wall partition assemblies.",NONE,WRONG,HIGH,"The region visually contains a grid bubble (A4) with a leader line, which is a grid reference, not a bid item. Grid references are explicitly excluded as direct evidence for a bid item. There is no visible element in this region that directly identifies, labels, or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags / Metal Framing).",,1,240,region_000240,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,FINISH_TAG,FX finish tag labels located along the partition/wall region in the roof plan area,"No explicit label or tag directly naming a wall partition assembly, wall type, or wall-type schedule in the highlighted region. The tags shown are generic finish codes (FX) and do not single out the bid item.",INDIRECT,WRONG,MEDIUM,"The region contains finish tags (FX) which indicate finishes rather than directly identifying or labeling the specific bid item (Furnish & Install Wall Partition Assemblies). There is no visible wall-type schedule, wall tag, or explicit reference to a wall partition assembly in this region; the evidence is thus indirect at best and not a direct match to the bid item.",,3,241,region_000241,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,AX,"No direct evidence of the bid item; region shows a grid/axis tag (AX) rather than a wall type, finish, or schedule entry specific to wall partition assemblies.",NONE,WRONG,HIGH,"The highlighted region visually contains a grid reference tag 'AX' with a leader, not a label, schedule, detail, or finish indication that directly identifies or references the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. Grid references are not bid-item evidence and do not establish direct association to wall partition work.",,1,242,region_000242,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,FINISH_TAG,"Two circular finish-tag indicators labeled ""FZ"" located at the ends of a small central feature on the roof-plan region.","No direct evidence of a wall partition assembly or metal framing; region shows finish-tag indicators (FZ) with no wall-type, partition detail, or schedule reference.",NONE,WRONG,MEDIUM,"The region visually contains finish-tag indicators (FZ) rather than a wall-type/partition label or detailed wall-assembly reference. There is no explicit reference to Wall Type S or a partition assembly in this region. It is on a roof plan sheet and lacks evidence directly identifying the bid-item work (furnish & install wall partition assemblies with metal framing). Therefore, no direct association to the bid item is shown; OCR alone is not sufficient to change this.",,1,243,region_000243,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,EQUIPMENT_TAG,Circular blue callout with the text 'AV' (annotation bubble) connected by a dashed leader line to the roof plan area.,"No direct label or schedule entry identifying a wall partition assembly, wall type, or wall type schedule/tag; region shows a generic annotation tag rather than a wall-related item.",NONE,WRONG,HIGH,The highlighted region is a generic annotation tag ('AV') without a direct reference to a wall partition assembly or the Wall Type Schedule/Tags required by the bid item. The bid item requires explicit identification of wall partition assemblies via wall type schedules and tags; this region does not provide that direct linkage.,,2,244,region_000244,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,PLAN_GEOMETRY,Door opening within partition wall on the roof plan area (central core/shaft with surrounding walls).,"No direct evidence of wall-type schedules, wall tags, partition assemblies, finishes, or schedule entries in the highlighted region.",NONE,WRONG,HIGH,"The highlighted region shows generic plan geometry (walls and a doorway/shaft) on the roof plan and does not contain any wall-type tag, partition assembly reference, finish tag, or schedule entry that explicitly identifies or references the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). There is no direct indication that this region represents or details a wall partition assembly per the bid item; OCR/text present is not sufficient to establish a direct association.",,1,245,region_000245,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,AZ,GRID_REFERENCE bubble with label AZ; no direct finish/material/work reference.,NONE,WRONG,HIGH,"The highlighted region shows a blue circular tag labeled 'AZ' connected by a dashed leader. This is a grid reference bubble, not a bid-item identifier. Grid references do not directly identify or locate the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags, Metal Framing) and provide no explicit evidence of wall partitions, finishes, or associated work. Therefore the region has no direct association with the bid item. The evidence is visually unambiguous and not dependent on OCR.",,1,246,region_000246,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
SUCCESS,GRID_REFERENCE,Blue circular grid bubble containing 'A2' (grid reference) visible in the cropped region.,"None visible. No wall type label, finish tag, wall partition label, schedule entry, or detail/reference that directly identifies the bid item.",NONE,WRONG,HIGH,"The highlighted region shows a grid reference bubble (A2) used for locating grid lines on the plan. Grid references are explicitly NOT bid items and do not directly identify the wall partition work described in the original bid item. There is no other direct evidence (e.g., wall type tag or schedule) in this region that ties to 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'.",,1,247,region_000247,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags
